FIPS,Name,TotPop
13001,"Appling County, Georgia",18454
13003,"Atkinson County, Georgia",8265
13005,"Bacon County, Georgia",11228
13007,"Baker County, Georgia",3189
13009,"Baldwin County, Georgia",45286
13011,"Banks County, Georgia",18510
13013,"Barrow County, Georgia",76887
13015,"Bartow County, Georgia",103620
13017,"Ben Hill County, Georgia",17154
13019,"Berrien County, Georgia",19025
13021,"Bibb County, Georgia",153490
13023,"Bleckley County, Georgia",12775
13025,"Brantley County, Georgia",18561
13027,"Brooks County, Georgia",15622
13029,"Bryan County, Georgia",35885
13031,"Bulloch County, Georgia",74782
13033,"Burke County, Georgia",22550
13035,"Butts County, Georgia",23750
13037,"Calhoun County, Georgia",6428
13039,"Camden County, Georgia",52714
13043,"Candler County, Georgia",10827
13045,"Carroll County, Georgia",116022
13047,"Catoosa County, Georgia",66299
13049,"Charlton County, Georgia",12983
13051,"Chatham County, Georgia",287049
13053,"Chattahoochee County, Georgia",10767
13055,"Chattooga County, Georgia",24817
13057,"Cherokee County, Georgia",241910
13059,"Clarke County, Georgia",124602
13061,"Clay County, Georgia",3001
13063,"Clayton County, Georgia",278666
13065,"Clinch County, Georgia",6743
13067,"Cobb County, Georgia",745057
13069,"Coffee County, Georgia",42961
13071,"Colquitt County, Georgia",45606
13073,"Columbia County, Georgia",147295
13075,"Cook County, Georgia",17184
13077,"Coweta County, Georgia",140516
13079,"Crawford County, Georgia",12344
13081,"Crisp County, Georgia",22846
13083,"Dade County, Georgia",16227
13085,"Dawson County, Georgia",23861
13087,"Decatur County, Georgia",26833
13089,"DeKalb County, Georgia",743187
13091,"Dodge County, Georgia",20919
13093,"Dooly County, Georgia",13905
13095,"Dougherty County, Georgia",91049
13097,"Douglas County, Georgia",141840
13099,"Early County, Georgia",10348
13101,"Echols County, Georgia",3994
13103,"Effingham County, Georgia",58689
13105,"Elbert County, Georgia",19212
13107,"Emanuel County, Georgia",22499
13109,"Evans County, Georgia",10727
13111,"Fannin County, Georgia",24925
13113,"Fayette County, Georgia",111369
13115,"Floyd County, Georgia",96824
13117,"Forsyth County, Georgia",219880
13119,"Franklin County, Georgia",22514
13121,"Fulton County, Georgia",1021902
13123,"Gilmer County, Georgia",29922
13125,"Glascock County, Georgia",3009
13127,"Glynn County, Georgia",83974
13129,"Gordon County, Georgia",56790
13131,"Grady County, Georgia",24926
13133,"Greene County, Georgia",16976
13135,"Gwinnett County, Georgia",902298
13137,"Habersham County, Georgia",44289
13139,"Hall County, Georgia",195961
13141,"Hancock County, Georgia",8535
13143,"Haralson County, Georgia",28956
13145,"Harris County, Georgia",33590
13147,"Hart County, Georgia",25631
13149,"Heard County, Georgia",11677
13151,"Henry County, Georgia",221307
13153,"Houston County, Georgia",151682
13155,"Irwin County, Georgia",9268
13157,"Jackson County, Georgia",65755
13159,"Jasper County, Georgia",13784
13161,"Jeff Davis County, Georgia",14991
13163,"Jefferson County, Georgia",15772
13165,"Jenkins County, Georgia",8827
13167,"Johnson County, Georgia",9730
13169,"Jones County, Georgia",28548
13171,"Lamar County, Georgia",18513
13173,"Lanier County, Georgia",10366
13175,"Laurens County, Georgia",47418
13177,"Lee County, Georgia",29348
13179,"Liberty County, Georgia",62108
13181,"Lincoln County, Georgia",7799
13183,"Long County, Georgia",18156
13185,"Lowndes County, Georgia",114582
13187,"Lumpkin County, Georgia",31951
13189,"McDuffie County, Georgia",21498
13191,"McIntosh County, Georgia",14120
13193,"Macon County, Georgia",13480
13195,"Madison County, Georgia",28900
13197,"Marion County, Georgia",8484
13199,"Meriwether County, Georgia",21113
13201,"Miller County, Georgia",5836
13205,"Mitchell County, Georgia",22432
13207,"Monroe County, Georgia",27010
13209,"Montgomery County, Georgia",9036
13211,"Morgan County, Georgia",18235
13213,"Murray County, Georgia",39557
13215,"Muscogee County, Georgia",196670
13217,"Newton County, Georgia",106497
13219,"Oconee County, Georgia",37017
13221,"Oglethorpe County, Georgia",14784
13223,"Paulding County, Georgia",155840
13225,"Peach County, Georgia",26966
13227,"Pickens County, Georgia",30832
13229,"Pierce County, Georgia",19164
13231,"Pike County, Georgia",18082
13233,"Polk County, Georgia",41621
13235,"Pulaski County, Georgia",11295
13237,"Putnam County, Georgia",21503
13239,"Quitman County, Georgia",2276
13241,"Rabun County, Georgia",16457
13243,"Randolph County, Georgia",7087
13245,"Richmond County, Georgia",201463
13247,"Rockdale County, Georgia",89011
13249,"Schley County, Georgia",5211
13251,"Screven County, Georgia",13990
13253,"Seminole County, Georgia",8437
13255,"Spalding County, Georgia",64719
13257,"Stephens County, Georgia",25676
13259,"Stewart County, Georgia",6042
13261,"Sumter County, Georgia",30352
13263,"Talbot County, Georgia",6378
13265,"Taliaferro County, Georgia",1665
13267,"Tattnall County, Georgia",25353
13269,"Taylor County, Georgia",8193
13271,"Telfair County, Georgia",16115
13273,"Terrell County, Georgia",8859
13275,"Thomas County, Georgia",44730
13277,"Tift County, Georgia",40510
13279,"Toombs County, Georgia",27048
13281,"Towns County, Georgia",11417
13283,"Treutlen County, Georgia",6777
13285,"Troup County, Georgia",69774
13287,"Turner County, Georgia",7962
13289,"Twiggs County, Georgia",8284
13291,"Union County, Georgia",22775
13293,"Upson County, Georgia",26216
13295,"Walker County, Georgia",68824
13297,"Walton County, Georgia",90132
13299,"Ware County, Georgia",35599
13301,"Warren County, Georgia",5346
13303,"Washington County, Georgia",20461
13305,"Wayne County, Georgia",29767
13307,"Webster County, Georgia",2613
13309,"Wheeler County, Georgia",7939
13311,"White County, Georgia",28928
13313,"Whitfield County, Georgia",103849
13315,"Wilcox County, Georgia",8846
13317,"Wilkes County, Georgia",9884
13319,"Wilkinson County, Georgia",9078
13321,"Worth County, Georgia",20656
